OID_,cat_ID_txt,O1Region,AwcHuc12_wtd_glacier_area_sqm,AwcHuc12_wtd_glacier_per,region,cat_ID,cat_ID_con
366,75004300007859, 1,3157.898296496757212,0.011700675745280,Cook_Inlet,75004300007859,Cook_Inlet_75004300007859
367,75004300007978, 1,40329642.681525066494942,46.323577987403070,Cook_Inlet,75004300007978,Cook_Inlet_75004300007978
368,75004300008012, 1,8503105.288145137950778,14.311390136465857,Cook_Inlet,75004300008012,Cook_Inlet_75004300008012
369,75004400000334, 1,193821284.103799998760223,8.642539915657258,Cook_Inlet,75004400000334,Cook_Inlet_75004400000334
370,75004400000370, 1,291918580.276885986328125,60.114304667928167,Cook_Inlet,75004400000370,Cook_Inlet_75004400000370
371,75004400000627, 1,221275.019063701765845,0.053892066719905,Cook_Inlet,75004400000627,Cook_Inlet_75004400000627
372,75004400000862, 1,1216847.560526615940034,4.207167824590117,Cook_Inlet,75004400000862,Cook_Inlet_75004400000862
373,75004400001134, 1,455445.717633149586618,0.978161034053508,Cook_Inlet,75004400001134,Cook_Inlet_75004400001134
374,75004400001136, 1,12854221.846248060464859,8.397087591227031,Cook_Inlet,75004400001136,Cook_Inlet_75004400001136
375,75004400001464, 1,3207932.673824697267264,4.282220936993567,Cook_Inlet,75004400001464,Cook_Inlet_75004400001464
376,75004400001569, 1,528443895.491664528846741,11.564893805438931,Cook_Inlet,75004400001569,Cook_Inlet_75004400001569
377,75004400001616, 1,42704031.110978648066521,7.993803068670879,Cook_Inlet,75004400001616,Cook_Inlet_75004400001616
378,75004400001652, 1,485739864.380686223506927,15.331444675126304,Cook_Inlet,75004400001652,Cook_Inlet_75004400001652
379,75004400002041, 1,306704.719199679035228,0.365175310777266,Cook_Inlet,75004400002041,Cook_Inlet_75004400002041
380,75004400002258, 1,1596147.026284058345482,0.813881222509562,Cook_Inlet,75004400002258,Cook_Inlet_75004400002258
381,75004400002279, 1,15172383.555486779659986,2.218631782377412,Cook_Inlet,75004400002279,Cook_Inlet_75004400002279
382,75004400002718, 1,108007081.145765200257301,53.676102912745307,Cook_Inlet,75004400002718,Cook_Inlet_75004400002718
383,75004400003165, 1,42704031.110978648066521,9.507957042132491,Cook_Inlet,75004400003165,Cook_Inlet_75004400003165
384,75004400003230, 1,7054838.539759067818522,4.443227282891204,Cook_Inlet,75004400003230,Cook_Inlet_75004400003230
385,75004400003768, 1,1140719.319278654409572,0.458800209752658,Cook_Inlet,75004400003768,Cook_Inlet_75004400003768
386,75004400003815, 1,1257401.038906887872145,2.746661515220468,Cook_Inlet,75004400003815,Cook_Inlet_75004400003815
387,75004400003876, 1,78431958.190246075391769,28.602564804089660,Cook_Inlet,75004400003876,Cook_Inlet_75004400003876
388,75004400004166, 1,1207589.692250318359584,6.641886916183036,Cook_Inlet,75004400004166,Cook_Inlet_75004400004166
389,75004400004213, 1,19137821.015927527099848,31.382969117182235,Cook_Inlet,75004400004213,Cook_Inlet_75004400004213
390,75004400004344, 1,53113238.964936904609203,32.337299832973912,Cook_Inlet,75004400004344,Cook_Inlet_75004400004344
391,75004400004680, 1,35649192.571219578385353,24.406080251898295,Cook_Inlet,75004400004680,Cook_Inlet_75004400004680
392,75004400005312, 1,85900124.557094141840935,23.220445229465454,Cook_Inlet,75004400005312,Cook_Inlet_75004400005312
393,75004400005344, 1,1588148.908335765358061,3.528651305163456,Cook_Inlet,75004400005344,Cook_Inlet_75004400005344
394,75004400005660, 1,1497385.848647522041574,2.674770223500970,Cook_Inlet,75004400005660,Cook_Inlet_75004400005660
395,75004400005909, 1,528443895.491664588451385,13.803164634164347,Cook_Inlet,75004400005909,Cook_Inlet_75004400005909
396,75004400005985, 1,528443895.491664886474609,10.504466412836422,Cook_Inlet,75004400005985,Cook_Inlet_75004400005985
397,75004400006692, 1,229598.129411922127474,0.325767102921965,Cook_Inlet,75004400006692,Cook_Inlet_75004400006692
398,75004400007224, 1,123036003.496343374252319,38.171163230374823,Cook_Inlet,75004400007224,Cook_Inlet_75004400007224
399,75004400007351, 1,30625849.803355157375336,31.588004574663071,Cook_Inlet,75004400007351,Cook_Inlet_75004400007351
400,75004400007996, 1,67318.949999334916356,0.023823309813444,Cook_Inlet,75004400007996,Cook_Inlet_75004400007996
401,75004400008192, 1,11654573.450601635500789,3.644073817924688,Cook_Inlet,75004400008192,Cook_Inlet_75004400008192
402,75004400008216, 1,92143575.841749995946884,16.690569294513892,Cook_Inlet,75004400008216,Cook_Inlet_75004400008216
403,75004400008242, 1,10833692.594490274786949,9.605804225159559,Cook_Inlet,75004400008242,Cook_Inlet_75004400008242
404,75004400008539, 1,42840366.773677214980125,41.590075623359802,Cook_Inlet,75004400008539,Cook_Inlet_75004400008539
405,75004400008856, 1,5678474.511680494062603,6.473034804928929,Cook_Inlet,75004400008856,Cook_Inlet_75004400008856
406,75004400008899, 1,528443895.491664707660675,9.672643018258974,Cook_Inlet,75004400008899,Cook_Inlet_75004400008899
407,75004400009308, 1,1224936.418861838523299,1.812030760940368,Cook_Inlet,75004400009308,Cook_Inlet_75004400009308
408,75004400009331, 1,601336.233930204412900,0.484407816300953,Cook_Inlet,75004400009331,Cook_Inlet_75004400009331
409,75004400009412, 1,764952.896381478174590,0.267593715580982,Cook_Inlet,75004400009412,Cook_Inlet_75004400009412
410,75004400009562, 1,152609.660684022557689,0.333537122804468,Cook_Inlet,75004400009562,Cook_Inlet_75004400009562
