OID_,cat_ID_txt,wtd_slope_ZONE_CODE,wtd_slope_COUNT,wtd_slope_AREA,wtd_slope_MIN,wtd_slope_MAX,wtd_slope_RANGE,wtd_slope_MEAN,wtd_slope_STD,wtd_slope_SUM,wtd_slope_MEDIAN,wtd_slope_PCT90,region,cat_ID_con
146,75000200018069,146,57409.000000000000000,5740900.000000000000000,0.000005788631370,28.708518981933594,28.708513193302224,3.406867806425409,3.333331743108141,195584.873899076308589,2.853200197219849,8.078255653381348,Cook_Inlet,Cook_Inlet_75000200018069
147,75000200013187,147,1401892.000000000000000,140189200.000000000000000,0.000002883198476,46.071571350097656,46.071568466899180,3.645324324035673,4.438945943739845,5110351.007271017879248,2.853414535522461,8.370975494384766,Cook_Inlet,Cook_Inlet_75000200013187
148,75000200007646,148,100664.000000000000000,10066400.000000000000000,0.000002863353757,27.099021911621094,27.099019048267337,1.832043038874501,2.692617990802632,184420.780465262738289,0.680508613586426,4.281461668014526,Cook_Inlet,Cook_Inlet_75000200007646
149,75000200000010,149,85316.000000000000000,8531600.000000000000000,0.000006925778962,33.455986022949219,33.455979097170257,5.589006063579996,5.360898406767642,476831.641320390917826,3.648869514465332,12.783535003662109,Cook_Inlet,Cook_Inlet_75000200000010
150,75000200013185,150,1400323.000000000000000,140032300.000000000000000,0.000003035282361,46.071571350097656,46.071568314815295,3.647547047192262,4.440678834498053,5107744.023765409365296,2.853415727615356,8.371033477783204,Cook_Inlet,Cook_Inlet_75000200013185
151,75000200010344,151,194869.000000000000000,19486900.000000000000000,0.000005015863280,33.466033935546875,33.466028919683595,3.474891260192412,3.715231042926264,677148.584982435102575,2.853259563446045,8.370204925537109,Cook_Inlet,Cook_Inlet_75000200010344
152,75000200010538,152,1796844.000000000000000,179684400.000000000000000,0.000001910427272,46.071571350097656,46.071569439670384,3.342268002619009,4.268936622076701,6005534.206897949799895,2.690404653549194,7.676699209213254,Cook_Inlet,Cook_Inlet_75000200010538
153,75000200010547,153,1403169.000000000000000,140316900.000000000000000,0.000002883198476,46.071571350097656,46.071568466899180,3.643573591290411,4.437553344914477,5112549.512517374940217,2.853413581848145,8.370942306518554,Cook_Inlet,Cook_Inlet_75000200010547
154,75000200005606,154,83377.000000000000000,8337700.000000000000000,0.000003314295100,19.397291183471680,19.397287869176580,1.519382947674887,1.907462924069031,126681.592028289058362,0.678801774978638,3.435258626937866,Cook_Inlet,Cook_Inlet_75000200005606
155,75000200002554,155,23533.000000000000000,2353300.000000000000000,0.000003267598231,21.352743148803711,21.352739881205480,1.716709215039031,2.294338118484756,40399.317957513521833,0.680506825447083,3.435987472534180,Cook_Inlet,Cook_Inlet_75000200002554
