OID_,cat_ID_txt,cat_elev_ZONE_CODE,cat_elev_COUNT,cat_elev_AREA,cat_elev_MIN,cat_elev_MAX,cat_elev_RANGE,cat_elev_MEAN,cat_elev_STD,cat_elev_SUM,cat_elev_VARIETY,cat_elev_MAJORITY,cat_elev_MINORITY,cat_elev_MEDIAN,cat_elev_PCT90,region,cat_ID_con
114,75000200013536,114,5754.000000000000000,575400.000000000000000,80,111,31,87.986791797010923,10.808255481085613,506276.000000000000000,32,80,111,81,106,Cook_Inlet,Cook_Inlet_75000200013536
115,75000200015867,115,178.000000000000000,17800.000000000000000,92,96,4,92.842696629213478,0.805861621440048,16526.000000000000000,5,93,94,93,93,Cook_Inlet,Cook_Inlet_75000200015867
116,75000200010712,116,47.000000000000000,4700.000000000000000,92,97,5,92.765957446808514,1.056142437956669,4360.000000000000000,4,93,94,93,93,Cook_Inlet,Cook_Inlet_75000200010712
117,75000200003070,117,287.000000000000000,28700.000000000000000,93,101,8,95.700348432055733,1.838638684758331,27466.000000000000000,9,98,99,96,98,Cook_Inlet,Cook_Inlet_75000200003070
118,75000200006065,118,7851.000000000000000,785100.000000000000000,97,117,20,107.718889313463166,4.654987323493912,845701.000000000000000,21,113,97,108,114,Cook_Inlet,Cook_Inlet_75000200006065
119,75000200010532,119,2552.000000000000000,255200.000000000000000,74,79,5,76.217476489028058,1.077756826047932,194507.000000000000000,6,76,79,76,78,Cook_Inlet,Cook_Inlet_75000200010532
120,75000200005573,120,141.000000000000000,14100.000000000000000,93,95,2,93.680851063829849,0.523479208148813,13209.000000000000000,3,94,95,94,94,Cook_Inlet,Cook_Inlet_75000200005573
121,75000200005575,121,158.000000000000000,15800.000000000000000,93,103,10,94.411392405063310,1.889778457430971,14917.000000000000000,11,94,99,94,96,Cook_Inlet,Cook_Inlet_75000200005575
122,75000200018331,122,32479.000000000000000,3247900.000000000000000,30,70,40,44.770590227531493,7.371050750600846,1454104.000000000000000,41,45,70,46,53,Cook_Inlet,Cook_Inlet_75000200018331
123,75000200005504,123,14479.000000000000000,1447900.000000000000000,29,69,40,45.421576075695910,12.257512484587794,657659.000000000000000,41,33,29,39,64,Cook_Inlet,Cook_Inlet_75000200005504
124,75000200003013,124,263.000000000000000,26300.000000000000000,36,38,2,37.471482889733807,0.723153533474871,9855.000000000000000,3,38,36,38,38,Cook_Inlet,Cook_Inlet_75000200003013
