OID_,non_north_area,north_area,region,wtd_north_per,cat_ID_txt,cat_ID_con
202,86076400.000000000000000,21847000.000000000000000,Cook_Inlet,20.2430611,75000200002162,Cook_Inlet_75000200002162
203,16470200.000000000000000,1257800.000000000000000,Cook_Inlet,7.0949912,75000200011392,Cook_Inlet_75000200011392
204,196122300.000000000000000,36243000.000000000000000,Cook_Inlet,15.5974236,75000200000278,Cook_Inlet_75000200000278
205,62429000.000000000000000,6563600.000000000000000,Cook_Inlet,9.5134840,75000200018259,Cook_Inlet_75000200018259
206,263235200.000000000000000,41005800.000000000000000,Cook_Inlet,13.4780655,75000200005444,Cook_Inlet_75000200005444
207,26061600.000000000000000,2264500.000000000000000,Cook_Inlet,7.9943938,75000200018203,Cook_Inlet_75000200018203
208,288188800.000000000000000,23419400.000000000000000,Cook_Inlet,7.5156560,75000200008110,Cook_Inlet_75000200008110
209,57011700.000000000000000,2955200.000000000000000,Cook_Inlet,4.9280519,75000200018317,Cook_Inlet_75000200018317
210,297315700.000000000000000,90933300.000000000000000,Cook_Inlet,23.4213867,75000200000949,Cook_Inlet_75000200000949
211,347484700.000000000000000,26439900.000000000000000,Cook_Inlet,7.0709176,75000200013249,Cook_Inlet_75000200013249
212,45801000.000000000000000,7507400.000000000000000,Cook_Inlet,14.0829592,75000200013010,Cook_Inlet_75000200013010
213,282813100.000000000000000,23072900.000000000000000,Cook_Inlet,7.5429735,75000200000418,Cook_Inlet_75000200000418
214,3386500.000000000000000,189800.000000000000000,Cook_Inlet,5.3071609,75000200002552,Cook_Inlet_75000200002552
215,513346900.000000000000000,74488700.000000000000000,Cook_Inlet,12.6716890,75000200008508,Cook_Inlet_75000200008508
216,3921900.000000000000000,41900.000000000000000,Cook_Inlet,1.0570664,75000200007670,Cook_Inlet_75000200007670
217,11407700.000000000000000,3402600.000000000000000,Cook_Inlet,22.9745522,75000200008676,Cook_Inlet_75000200008676
218,565324100.000000000000000,80632200.000000000000000,Cook_Inlet,12.4826088,75000200018667,Cook_Inlet_75000200018667
219,11943400.000000000000000,199800.000000000000000,Cook_Inlet,1.6453654,75000200011572,Cook_Inlet_75000200011572
220,12458100.000000000000000,291400.000000000000000,Cook_Inlet,2.2855799,75000200011623,Cook_Inlet_75000200011623
221,135662700.000000000000000,30199800.000000000000000,Cook_Inlet,18.2077332,75000200019765,Cook_Inlet_75000200019765
222,18077500.000000000000000,3028000.000000000000000,Cook_Inlet,14.3469715,75000200016095,Cook_Inlet_75000200016095
223,176989700.000000000000000,32815000.000000000000000,Cook_Inlet,15.6407366,75000200014508,Cook_Inlet_75000200014508
224,1581858800.000000000000000,164085800.000000000000000,Cook_Inlet,9.3981104,75000200015883,Cook_Inlet_75000200015883
225,9132300.000000000000000,556700.000000000000000,Cook_Inlet,5.7456908,75000200014057,Cook_Inlet_75000200014057
226,4833700.000000000000000,86800.000000000000000,Cook_Inlet,1.7640483,75000200019263,Cook_Inlet_75000200019263
227,265698100.000000000000000,39677400.000000000000000,Cook_Inlet,12.9929876,75000200003896,Cook_Inlet_75000200003896
228,62824500.000000000000000,6837400.000000000000000,Cook_Inlet,9.8151217,75000200005619,Cook_Inlet_75000200005619
229,506919800.000000000000000,151828300.000000000000000,Cook_Inlet,23.0480061,75000200003312,Cook_Inlet_75000200003312
230,224413000.000000000000000,36485000.000000000000000,Cook_Inlet,13.9843922,75000200014207,Cook_Inlet_75000200014207
231,39288769300.000000000000000,10849947900.000000000000000,Cook_Inlet,21.6398602,75000200007927,Cook_Inlet_75000200007927
232,50167300.000000000000000,5887500.000000000000000,Cook_Inlet,10.5031147,75000200011034,Cook_Inlet_75000200011034
233,1518792000.000000000000000,157209000.000000000000000,Cook_Inlet,9.3800068,75000200015882,Cook_Inlet_75000200015882
234,617809500.000000000000000,89674300.000000000000000,Cook_Inlet,12.6751032,75000200016094,Cook_Inlet_75000200016094
235,57182800.000000000000000,12611000.000000000000000,Cook_Inlet,18.0689411,75000200008452,Cook_Inlet_75000200008452
236,298256000.000000000000000,52264700.000000000000000,Cook_Inlet,14.9105883,75005300022831,Cook_Inlet_75005300022831
237,258832200.000000000000000,43364700.000000000000000,Cook_Inlet,14.3498163,75005300011378,Cook_Inlet_75005300011378
238,210110000.000000000000000,72341000.000000000000000,Cook_Inlet,25.6118755,75005400001203,Cook_Inlet_75005400001203
239,25301700.000000000000000,4174200.000000000000000,Cook_Inlet,14.1613998,75005400029139,Cook_Inlet_75005400029139
240,9513400.000000000000000,1327700.000000000000000,Cook_Inlet,12.2469120,75005400013272,Cook_Inlet_75005400013272
241,6451700.000000000000000,858800.000000000000000,Copper_River,11.7474861,75019800000406,Copper_River_75019800000406
242,444687800.000000000000000,116996000.000000000000000,Copper_River,20.8295135,75019800010313,Copper_River_75019800010313
243,31113100.000000000000000,4000400.000000000000000,Copper_River,11.3927689,75019800014348,Copper_River_75019800014348
244,12197400.000000000000000,517300.000000000000000,Copper_River,4.0685191,75019800001957,Copper_River_75019800001957
245,1458606400.000000000000000,163891600.000000000000000,Copper_River,10.1011896,75019800019692,Copper_River_75019800019692
246,3874074000.000000000000000,676138200.000000000000000,Copper_River,14.8594875,75019600118138,Copper_River_75019600118138
247,312534100.000000000000000,57676400.000000000000000,Copper_River,15.5793524,75019700004190,Copper_River_75019700004190
248,30274900.000000000000000,3221300.000000000000000,Copper_River,9.6169119,75019700004084,Copper_River_75019700004084
249,599458200.000000000000000,100707400.000000000000000,Copper_River,14.3833685,75019700017692,Copper_River_75019700017692
250,89504400.000000000000000,52123200.000000000000000,Copper_River,36.8029976,75019700001794,Copper_River_75019700001794
251,22668800.000000000000000,5478100.000000000000000,Copper_River,19.4625340,75019700003889,Copper_River_75019700003889
252,39943649000.000000000000000,11153089700.000000000000000,Copper_River,21.8274002,75003900062338,Copper_River_75003900062338
253,42193800.000000000000000,11772500.000000000000000,Copper_River,21.8145390,75003900033524,Copper_River_75003900033524
254,46475700.000000000000000,5585000.000000000000000,Copper_River,10.7278624,75003900054316,Copper_River_75003900054316
255,3206700.000000000000000,214200.000000000000000,Copper_River,6.2615099,75003900055039,Copper_River_75003900055039
256,5639500.000000000000000,2353400.000000000000000,Copper_River,29.4436321,75003900023942,Copper_River_75003900023942
257,4833200.000000000000000,377000.000000000000000,Copper_River,7.2358065,75003900058380,Copper_River_75003900058380
258,1773600.000000000000000,337200.000000000000000,Copper_River,15.9749861,75003900028507,Copper_River_75003900028507
259,17530900.000000000000000,3329700.000000000000000,Copper_River,15.9616690,75003900027489,Copper_River_75003900027489
260,4573200.000000000000000,587100.000000000000000,Copper_River,11.3772459,75003900044936,Copper_River_75003900044936
261,659400.000000000000000,93700.000000000000000,Copper_River,12.4419069,75003900023855,Copper_River_75003900023855
262,4991400.000000000000000,1013300.000000000000000,Copper_River,16.8751144,75003900044738,Copper_River_75003900044738
263,186400.000000000000000,20500.000000000000000,Copper_River,9.9081678,75003900055694,Copper_River_75003900055694
264,2869600.000000000000000,985500.000000000000000,Copper_River,25.5635395,75003900023674,Copper_River_75003900023674
265,14581100.000000000000000,7518700.000000000000000,Copper_River,34.0215759,75003900062264,Copper_River_75003900062264
266,5807000.000000000000000,1493100.000000000000000,Copper_River,20.4531441,75003900055316,Copper_River_75003900055316
267,4679100.000000000000000,1053700.000000000000000,Copper_River,18.3801975,75003900039073,Copper_River_75003900039073
268,1321600.000000000000000,277200.000000000000000,Copper_River,17.3380032,75003900027771,Copper_River_75003900027771
269,2810795900.000000000000000,454473400.000000000000000,Bristol_Bay,13.9184046,1023044,Bristol_Bay_1023044
270,922316600.000000000000000,266516800.000000000000000,Bristol_Bay,22.4183464,2041471,Bristol_Bay_2041471
271,237064600.000000000000000,68862800.000000000000000,Bristol_Bay,22.5095234,2065755,Bristol_Bay_2065755
272,10904800.000000000000000,2065000.000000000000000,Bristol_Bay,15.9216022,2065914,Bristol_Bay_2065914
