OID_,non_wetland_area,wetland_area,region,wtd_wet_per,cat_ID_txt,cat_ID_con
315,5982000.000000000000000,797000.000000000000000,Bristol_Bay,11.7568960,4063775,Bristol_Bay_4063775
316,2060200.000000000000000,433600.000000000000000,Bristol_Bay,17.3871193,4064055,Bristol_Bay_4064055
317,7639100.000000000000000,1025100.000000000000000,Bristol_Bay,11.8314447,4064845,Bristol_Bay_4064845
318,1866700.000000000000000,0.000000000000000,Bristol_Bay,0.0000000,4068584,Bristol_Bay_4068584
319,9305000.000000000000000,38900.000000000000000,Bristol_Bay,0.4163144,4069455,Bristol_Bay_4069455
320,8816700.000000000000000,2095000.000000000000000,Bristol_Bay,19.1995754,4069495,Bristol_Bay_4069495
321,16617200.000000000000000,119000.000000000000000,Bristol_Bay,0.7110336,4069586,Bristol_Bay_4069586
322,104543300.000000000000000,1143800.000000000000000,Bristol_Bay,1.0822513,4071036,Bristol_Bay_4071036
323,135255700.000000000000000,2905600.000000000000000,Bristol_Bay,2.1030490,4071256,Bristol_Bay_4071256
324,8431800.000000000000000,1855800.000000000000000,Bristol_Bay,18.0391922,4071625,Bristol_Bay_4071625
325,15577600.000000000000000,296200.000000000000000,Bristol_Bay,1.8659679,4073375,Bristol_Bay_4073375
326,3020800.000000000000000,120400.000000000000000,Bristol_Bay,3.8329301,4074184,Bristol_Bay_4074184
327,18883500.000000000000000,3500900.000000000000000,Bristol_Bay,15.6399097,4074505,Bristol_Bay_4074505
328,90278400.000000000000000,4588200.000000000000000,Bristol_Bay,4.8364758,4074726,Bristol_Bay_4074726
329,25542700.000000000000000,431100.000000000000000,Bristol_Bay,1.6597494,4075225,Bristol_Bay_4075225
330,9515600.000000000000000,29000.000000000000000,Bristol_Bay,0.3038367,4075474,Bristol_Bay_4075474
331,19870500.000000000000000,3471100.000000000000000,Bristol_Bay,14.8708744,4075715,Bristol_Bay_4075715
332,37005400.000000000000000,1035800.000000000000000,Bristol_Bay,2.7228374,4076505,Bristol_Bay_4076505
333,52178600.000000000000000,301600.000000000000000,Bristol_Bay,0.5746929,4076575,Bristol_Bay_4076575
334,18156700.000000000000000,4199700.000000000000000,Bristol_Bay,18.7852249,4076675,Bristol_Bay_4076675
335,25864400.000000000000000,4791000.000000000000000,Bristol_Bay,15.6285677,4078235,Bristol_Bay_4078235
336,2835500.000000000000000,475600.000000000000000,Bristol_Bay,14.3638067,4079234,Bristol_Bay_4079234
337,78471100.000000000000000,1921200.000000000000000,Bristol_Bay,2.3897810,4080045,Bristol_Bay_4080045
338,161934700.000000000000000,2349500.000000000000000,Bristol_Bay,1.4301436,4080875,Bristol_Bay_4080875
339,1938100.000000000000000,338400.000000000000000,Bristol_Bay,14.8649244,4082225,Bristol_Bay_4082225
340,152292500.000000000000000,12353900.000000000000000,Bristol_Bay,7.5032921,4084145,Bristol_Bay_4084145
341,73200300.000000000000000,78100.000000000000000,Bristol_Bay,0.1065798,4084351,Bristol_Bay_4084351
342,79752700.000000000000000,1104800.000000000000000,Bristol_Bay,1.3663543,4084915,Bristol_Bay_4084915
343,1384033700.000000000000000,144343800.000000000000000,Bristol_Bay,9.4442501,4086815,Bristol_Bay_4086815
344,1130332000.000000000000000,44477100.000000000000000,Bristol_Bay,3.7859001,4087015,Bristol_Bay_4087015
345,10281100.000000000000000,25800.000000000000000,Bristol_Bay,0.2503178,4087224,Bristol_Bay_4087224
346,2095522400.000000000000000,120667100.000000000000000,Bristol_Bay,5.4448009,4088675,Bristol_Bay_4088675
347,13516800.000000000000000,4500.000000000000000,Bristol_Bay,0.0332808,4088904,Bristol_Bay_4088904
348,19890000.000000000000000,351500.000000000000000,Bristol_Bay,1.7365314,4089074,Bristol_Bay_4089074
349,10313800.000000000000000,573700.000000000000000,Bristol_Bay,5.2693458,4089384,Bristol_Bay_4089384
350,10860300.000000000000000,116800.000000000000000,Bristol_Bay,1.0640333,4089394,Bristol_Bay_4089394
351,15067900.000000000000000,335700.000000000000000,Bristol_Bay,2.1793606,4089574,Bristol_Bay_4089574
352,35982800.000000000000000,15200.000000000000000,Bristol_Bay,0.0422246,4091164,Bristol_Bay_4091164
353,25627500.000000000000000,5400.000000000000000,Bristol_Bay,0.0210667,4091424,Bristol_Bay_4091424
354,22160800.000000000000000,0.000000000000000,Bristol_Bay,0.0000000,4092244,Bristol_Bay_4092244
355,40414500.000000000000000,892800.000000000000000,Bristol_Bay,2.1613612,4093084,Bristol_Bay_4093084
356,185557000.000000000000000,990900.000000000000000,Bristol_Bay,0.5311772,4095301,Bristol_Bay_4095301
357,32931200.000000000000000,2609900.000000000000000,Bristol_Bay,7.3433294,4095374,Bristol_Bay_4095374
358,30157700.000000000000000,65400.000000000000000,Bristol_Bay,0.2163908,4096064,Bristol_Bay_4096064
359,62873400.000000000000000,465000.000000000000000,Bristol_Bay,0.7341518,4096454,Bristol_Bay_4096454
360,92948300.000000000000000,4076900.000000000000000,Bristol_Bay,4.2018981,4098114,Bristol_Bay_4098114
361,177283200.000000000000000,475200.000000000000000,Bristol_Bay,0.2673291,4098704,Bristol_Bay_4098704
362,290365600.000000000000000,6041200.000000000000000,Bristol_Bay,2.0381448,4099594,Bristol_Bay_4099594
363,271318700.000000000000000,1959500.000000000000000,Bristol_Bay,0.7170349,4099694,Bristol_Bay_4099694
364,3899998400.000000000000000,29444600.000000000000000,Bristol_Bay,0.7493327,4101123,Bristol_Bay_4101123
365,19580200.000000000000000,0.000000000000000,Bristol_Bay,0.0000000,4101274,Bristol_Bay_4101274
366,123599300.000000000000000,1690800.000000000000000,Bristol_Bay,1.3495080,4102124,Bristol_Bay_4102124
367,400578900.000000000000000,19531700.000000000000000,Bristol_Bay,4.6491804,4104574,Bristol_Bay_4104574
368,672662700.000000000000000,20128500.000000000000000,Bristol_Bay,2.9054208,4105204,Bristol_Bay_4105204
369,109447100.000000000000000,0.000000000000000,Bristol_Bay,0.0000000,4105594,Bristol_Bay_4105594
370,267559500.000000000000000,1002600.000000000000000,Bristol_Bay,0.3733215,4105844,Bristol_Bay_4105844
371,172724700.000000000000000,2716700.000000000000000,Bristol_Bay,1.5484942,4106904,Bristol_Bay_4106904
372,9127805700.000000000000000,272500800.000000000000000,Bristol_Bay,2.8988502,4107464,Bristol_Bay_4107464
373,906394900.000000000000000,73400.000000000000000,Bristol_Bay,0.0080974,4115672,Bristol_Bay_4115672
374,159888500.000000000000000,2456500.000000000000000,Bristol_Bay,1.5131356,5008707,Bristol_Bay_5008707
375,341054700.000000000000000,4218800.000000000000000,Bristol_Bay,1.2218720,5020796,Bristol_Bay_5020796
