OID_,cat_ID_txt,FType,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,region,cat_ID,cat_ID_con
636,75000200005066,390,48358.473068499566580,0.084474481899645,Cook_Inlet,75000200005066,Cook_Inlet_75000200005066
637,75000200005098,390,2037472.820534970844164,0.906362021006381,Cook_Inlet,75000200005098,Cook_Inlet_75000200005098
638,75000200005143,390,819836.225653073168360,0.738036835373381,Cook_Inlet,75000200005143,Cook_Inlet_75000200005143
639,75000200005175,390,444453.273193487315439,0.277995875894065,Cook_Inlet,75000200005175,Cook_Inlet_75000200005175
640,75000200005190,390,2230014.291731772013009,1.777343906556315,Cook_Inlet,75000200005190,Cook_Inlet_75000200005190
641,75000200005366,390,2368734.825027174316347,11.565735040345817,Cook_Inlet,75000200005366,Cook_Inlet_75000200005366
642,75000200005513,390,7444076.831818460486829,1.587637886362159,Cook_Inlet,75000200005513,Cook_Inlet_75000200005513
643,75000200005532,390,17602108.720301479101181,1.462588545984853,Cook_Inlet,75000200005532,Cook_Inlet_75000200005532
644,75000200005619,390,692890.008357990416698,0.994659508491602,Cook_Inlet,75000200005619,Cook_Inlet_75000200005619
645,75000200005720,390,5827282.262100271880627,3.309414413343076,Cook_Inlet,75000200005720,Cook_Inlet_75000200005720
646,75000200005820,390,17507460.457859192043543,2.676773698706531,Cook_Inlet,75000200005820,Cook_Inlet_75000200005820
647,75000200006087,390,52193.577919120776642,0.075690886378315,Cook_Inlet,75000200006087,Cook_Inlet_75000200006087
648,75000200006182,390,2876925.059888145420700,1.298369001431882,Cook_Inlet,75000200006182,Cook_Inlet_75000200006182
649,75000200007043,390,888590.096780330408365,0.259091040171888,Cook_Inlet,75000200007043,Cook_Inlet_75000200007043
650,75000200007660,390,1622261.681574717629701,0.357346708286780,Cook_Inlet,75000200007660,Cook_Inlet_75000200007660
651,75000200007995,390,521769627.285614252090454,1.530730618930310,Cook_Inlet,75000200007995,Cook_Inlet_75000200007995
652,75000200008048,390,1170121.180179146584123,1.695922423189935,Cook_Inlet,75000200008048,Cook_Inlet_75000200008048
653,75000200008267,390,515385240.587305366992950,1.523404291808983,Cook_Inlet,75000200008267,Cook_Inlet_75000200008267
654,75000200008529,390,466894286.483802735805511,1.565523869901162,Cook_Inlet,75000200008529,Cook_Inlet_75000200008529
655,75000200008552,390,155880.314380159892607,0.368166062615917,Cook_Inlet,75000200008552,Cook_Inlet_75000200008552
656,75000200008564,390,1456033.577841726364568,2.574896096258655,Cook_Inlet,75000200008564,Cook_Inlet_75000200008564
657,75000200008600,390,2967521.238120976369828,0.854757747812698,Cook_Inlet,75000200008600,Cook_Inlet_75000200008600
658,75000200008668,390,74299.616192712841439,0.183408065678024,Cook_Inlet,75000200008668,Cook_Inlet_75000200008668
659,75000200009162,390,1477513.572521736612543,0.262178909817423,Cook_Inlet,75000200009162,Cook_Inlet_75000200009162
