OID_,cat_ID_txt,AwcHuc12_cat_elev_ZONE_CODE,AwcHuc12_cat_elev_COUNT,AwcHuc12_cat_elev_AREA,AwcHuc12_cat_elev_MIN,AwcHuc12_cat_elev_MAX,AwcHuc12_cat_elev_RANGE,AwcHuc12_cat_elev_MEAN,AwcHuc12_cat_elev_STD,AwcHuc12_cat_elev_SUM,AwcHuc12_cat_elev_VARIETY,AwcHuc12_cat_elev_MAJORITY,AwcHuc12_cat_elev_MINORITY,AwcHuc12_cat_elev_MEDIAN,AwcHuc12_cat_elev_PCT90,region,cat_ID_con
127,2079556,127,4087.000000000000000,408700.000000000000000,71,110,39,91.541228284804973,7.577489796163933,374129.000000000000000,40,92,71,92,101,Bristol_Bay,Bristol_Bay_2079556
128,2079716,128,1690.000000000000000,169000.000000000000000,74,91,17,80.932544378698225,4.104140646860619,136776.000000000000000,18,78,74,80,87,Bristol_Bay,Bristol_Bay_2079716
129,2079856,129,7707.000000000000000,770700.000000000000000,291,326,35,304.224341507719998,8.473874806764035,2344657.000000000000000,36,297,326,301,318,Bristol_Bay,Bristol_Bay_2079856
130,2080866,130,3627.000000000000000,362700.000000000000000,5,20,15,13.594982078853032,3.612542432565242,49309.000000000000000,16,17,5,14,18,Bristol_Bay,Bristol_Bay_2080866
131,2080976,131,4799.000000000000000,479900.000000000000000,11,34,23,20.555324025838633,5.786092167389207,98645.000000000000000,24,14,33,21,28,Bristol_Bay,Bristol_Bay_2080976
132,2081436,132,2645.000000000000000,264500.000000000000000,283,300,17,289.672967863893462,1.910088350203089,766185.000000000000000,18,289,284,289,292,Bristol_Bay,Bristol_Bay_2081436
133,2081462,133,4143.000000000000000,414300.000000000000000,152,445,293,276.920106203234241,80.062606077386448,1147280.000000000000000,286,159,152,272,381,Bristol_Bay,Bristol_Bay_2081462
134,2081466,134,1116.000000000000000,111600.000000000000000,3,20,17,7.906810035842294,4.330883120737694,8824.000000000000000,18,6,20,6,16,Bristol_Bay,Bristol_Bay_2081466
135,2081566,135,1325.000000000000000,132500.000000000000000,65,77,12,69.257358490566048,3.442381882131598,91766.000000000000000,13,67,65,68,76,Bristol_Bay,Bristol_Bay_2081566
136,2082396,136,2940.000000000000000,294000.000000000000000,14,32,18,23.992857142857158,4.924630929919357,70539.000000000000000,19,28,32,25,30,Bristol_Bay,Bristol_Bay_2082396
