SiteID,Year,MA7d_DAT,MA7d_DMT,MxDAT,MnDAT,MxDMT,MnDMT,MnDNT,NDNT,MxDIFF,Jul,Aug,SIGMA_DAT,SIGMA_DMT,SIGMA_DNT,SD,CV_DAT,CV_DAT_K,RANGE_MAX,RANGE_MN,SUM_13_DMT,SUM_18_DMT,SUM_20_DMT,dur13,dur13mx,dur13gt6,dur13ct,dur18,dur18mx,dur18gt6,dur18ct,dur20,dur20mx,dur20gt6,dur20ct,MxDMT_jd,MA7d_DMT_jd,Jun
PWSCC_Stockdale,2016,13.737422619047615,14.31157142857143,14.0338333333333,12.240764492753623,14.709,12.796184782608696,11.708586956521739,8.978,5.731,12.878560483870968,12.821165322580642,1.385383674657915,1.2828560643812708,1.6699722890587674,1.177023226048626,0.09615602250540876,0.00412425128101338,2.24,1.0875978260869565,46,0,0,7.666666666666667,34,1,6,0,0,0,0,0,0,0,0,202,203,10.981961111111113
PWSCC_Stockdale,2017,12.419898809523799,13.722,12.9113333333333,10.853529891304351,14.325,11.738141304347826,10.079021739130434,6.064,8.261,11.298313172043015,11.6533373655914,1.2786899490737964,1.3943908479455327,1.5671141094123269,1.1307917354994228,0.1041865408603511,0.00398161155226558,3.752,1.6591195652173913,13,0,0,2.6,5,0,5,0,0,0,0,0,0,0,0,218,217,9.56745277777778
PWSCC_Stockdale,2018,12.7328869047619,13.858714285714285,12.991125,11.164514945652174,14.709,12.066673913043479,10.390717391304348,5.757,8.952,11.865778225806443,11.895630376344094,1.6373643424367168,1.5355286837075968,2.319762073100812,1.279595382312986,0.11461271614055227,0.004500633330512816,4.427999999999999,1.6759565217391303,19,0,0,2.7142857142857144,6,0,7,0,0,0,0,0,0,0,0,187,185,9.68439027777778
PWSCC_Stockdale,2019,13.745583333333315,15.636857142857142,14.0633333333333,12.183058876811597,16.046,13.407108695652173,11.115608695652174,8.082,7.963999999999999,13.256365591397849,12.153064516129035,1.7557841678171584,2.1807092188246533,1.7987343946488294,1.3250600619659316,0.10876250992170453,0.004643906553211572,3.8599999999999994,2.2915,54,0,0,10.8,35,2,5,0,0,0,0,0,0,0,0,186,185,11.10496944444445
USFS_18 Mile,2019,18.87429166666667,20.889999999999997,19.9235,13.65160552536232,22.178,15.093619565217391,12.454010869565217,6.585,15.593,15.016119623655916,14.771125,8.369576899360922,10.378451996536072,7.572106868012423,2.8930221048863283,0.2119180853498582,0.010087189364183994,6.436,2.639608695652174,68,21,5,11.333333333333334,30,2,6,4.2,7,1,5,5,5,0,1,187,187,11.084770833333337
USFS_18 Mile Middle Fork,2013,16.18910714285713,18.807142857142857,18.8995833333333,13.39771286231884,22.15,15.099021739130436,11.974130434782609,6.84,15.309999999999999,13.228010752688173,13.08251344086022,5.542469099109297,9.23072760391782,4.269277257525084,2.3542449106049474,0.17571991091302439,0.00821589147262229,8.25,3.1248913043478264,71,15,4,14.2,27,4,5,2.5,5,0,6,2,3,0,2,168,174,13.898777777777774
USFS_18 Mile Middle Fork,2014,15.484702380952385,17.818571428571428,17.8266666666667,13.248298007246376,21.01,14.857489130434782,11.890260869565218,9.16,11.850000000000001,14.401451612903232,12.501172043010746,2.4799433911757762,4.87649928559484,1.8714510081223126,1.5747836013801313,0.11886686127672984,0.005498578770675122,7.8199999999999985,2.9672282608695655,70,8,2,7,25,3,10,1.3333333333333333,3,0,6,2,2,0,1,184,182,12.82873611111111
USFS_18 Mile Middle Fork,2017,16.027898809523798,18.05,17.3162083333333,12.800770833333337,20.365,14.156239130434782,11.605869565217391,8.742,11.622999999999998,14.000973118279575,12.8300497311828,3.4719110081845126,5.5403518542761585,2.8900724223602485,1.8633064718892898,0.14556205217245363,0.006516179223644486,7.902999999999999,2.5503695652173914,59,6,2,6.555555555555555,46,1,9,1.5,3,0,4,1,1,0,2,203,219,11.530306944444444
USFS_18 Mile Middle Fork,2018,13.95976190476193,15.923857142857143,16.3852916666667,11.823684782608693,18.675,13.167228260869566,10.667152173913044,7.519,11.156,12.66228897849463,11.688975806451603,1.618176563961568,3.0852437165551843,1.7600903941710466,1.2720756911290962,0.10758707750735846,0.004463835641875136,7.606999999999999,2.500076086956522,43,3,0,3.0714285714285716,12,1,14,3,3,0,1,0,0,0,0,186,187,11.096326388888887
USFS_18 Mile West Fork,2013,12.786696428571444,16.654285714285713,14.5272916666667,11.393360507246381,19.39,13.34891304347826,9.731739130434782,6.1,13.290000000000001,11.381552419354843,11.289213709677421,1.9478864728493237,5.679783420926899,1.6960562828475874,1.3956670350944467,0.12249827732623553,0.0049049362199365225,9.770000000000001,3.6171739130434784,47,3,0,2.9375,8,1,16,1,1,0,3,0,0,0,0,168,160,11.51318055555556
USFS_18 Mile West Fork,2017,10.64900595238097,13.07642857142857,11.252375,9.48353283514493,15.008,11.051804347826087,8.24954347826087,5.462,9.546,9.651717741935485,10.110110887096779,0.7688360713640334,2.490282818442427,1.102442602484472,0.8768329780317534,0.09245847441813106,0.003102367115593458,8.131,2.8022608695652176,12,0,0,1.3333333333333333,3,0,9,0,0,0,0,0,0,0,0,203,218,8.662277777777778
USFS_24.9 Mile Creek,2013,11.689684523809515,13.03,12.6994583333333,9.508754528985506,15.27,10.464902173913044,8.783934782608696,6.128,9.142,9.370290322580647,8.884067204301076,1.8797863865787674,2.5722401991161017,1.5770460616340183,1.3710530210676637,0.14418849670461964,0.004850559195848531,4.484999999999999,1.680967391304348,7,0,0,2.3333333333333335,3,0,3,0,0,0,0,0,0,0,0,168,165,10.29734444444444
USFS_24.9 Mile Creek,2014,11.76401190476193,12.486714285714285,12.3711666666667,9.980635942028988,13.714,10.550815217391305,9.540543478260869,7.594,6.12,10.855615591397852,9.377277096774197,1.0732986266239584,1.0588714489966555,1.203563525561395,1.03600126767488,0.1038011278732474,0.0036590927867198434,2.953000000000001,1.0102717391304348,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,183,185,9.699961111111113
USFS_24.9 Mile Creek,2016,13.349083333333327,14.159142857142857,13.8638333333333,10.714437047101452,14.864,11.667163043478261,9.907847826086957,6.281,8.583000000000002,12.092646505376353,8.772392473118279,3.1849185755683282,3.265095500597229,3.4398615590062116,1.7846340172618946,0.16656348900240978,0.006286923560508476,4.961,1.7593152173913043,26,0,0,5.2,15,1,5,0,0,0,0,0,0,0,0,167,199,11.297066666666668
